Item,Description,Quantity,Price GBP,Price USD (approx),URL,,,
3D Printed Parts,Resin Printing by JLC,1,8.44,11.39,https://jlc3dp.com/,,,
Wire,3M of 18 AWG Wire,1,1.69,2.28,https://www.aliexpress.com/item/1005009014635843.html?spm=a2g0o.productlist.main.7.5c6259a2Cca1GK&algo_pvid=fc37c661-347b-40de-92c6-2c53b700cae3&algo_exp_id=fc37c661-347b-40de-92c6-2c53b700cae3-6&pdp_ext_f=%7B%22order%22%3A%223306%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.82%210.76%21%21%2125.60%216.92%21%40211b816617691065280416731e11e2%2112000047614766819%21sea%21UK%217239841958%21ABX%211%210%21n_tag%3A-29910%3Bd%3A45ca49e5%3Bm03_new_user%3A-29895%3BpisId%3A5000000197851941&curPageLogUid=8QLZ1PBvuw0x&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009014635843%7C_p_origin_prod%3A,,,
USB C Port,Female USB C,1,1.20,1.64,https://www.aliexpress.com/item/1005010700033077.html?spm=a2g0o.productlist.main.9.5485ab40MVhQhG&algo_pvid=3878b2ed-22ba-4af9-bfe7-49b877f913ea&algo_exp_id=3878b2ed-22ba-4af9-bfe7-49b877f913ea-8&pdp_ext_f=%7B%22order%22%3A%225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.60%210.75%21%21%2123.76%216.84%21%40211b680e17710070818982342ef0a7%2112000053234502488%21sea%21UK%217239841958%21ABX%211%210%21n_tag%3A-29910%3Bd%3A45ca49e5%3Bm03_new_user%3A-29895%3BpisId%3A5000000197851908&curPageLogUid=RnfscXstO4jo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010700033077%7C_p_origin_prod%3A,,,
PWM Potitometer,DC PWM Led dimmer,1,1.74,2.35,https://www.aliexpress.com/item/1005009325396293.html?spm=a2g0o.productlist.main.7.3b15mqFEmqFEAj&algo_pvid=f1b42f94-c339-4946-9ed4-513ee9d40096&algo_exp_id=f1b42f94-c339-4946-9ed4-513ee9d40096-6&pdp_ext_f=%7B%22order%22%3A%2237%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.87%210.76%21%21%2126.03%216.86%21%40211b813b17691061917935776e4cfd%2112000048760065826%21sea%21UK%217239841958%21ABX%211%210%21n_tag%3A-29910%3Bd%3A45ca49e5%3Bm03_new_user%3A-29895%3BpisId%3A5000000197851941&curPageLogUid=awETNIO6CkXz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009325396293%7C_p_origin_prod%3A#nav-specification,,,
25MM Dowel,25mm diameter 1m long wooden dowel,1,9.78,13.2,https://www.amazon.co.uk/gp/product/B09VCLFXZF/ref=sw_img_1?smid=ABSX04T3SBXLV&th=1,,,
LED Strip,3mm wide 1m long 12V,1,4.08,5.51,https://www.ebay.co.uk/itm/126474880065?chn=ps&_ul=GB&var=427513265874&norover=1&mkevt=1&mkrid=710-166974-033325-9&mkcid=2&mkscid=101&itemid=427513265747_126474880065&targetid=2275367127251&device=c&mktype=pla&googleloc=9046949&poi=&campaignid=22539795484&mkgroupid=182333687947&rlsatarget=pla-2275367127251&abcId=10308910&merchantid=5546649546&geoid=9046949&gad_source=1&gad_campaignid=22539795484&gbraid=0AAAAAD_Lr1dHuk7eBJPmssxK4jD1wNF1v&gclid=CjwKCAiA7LzLBhAgEiwAjMWzCNbaiiTqkO_JuCPTrvwfQesPGH9Hsw-B5is0MSKMUvXh2tJToodIwxoCFboQAvD_BwE,,,
,,,,,,,,
,,,,,,,Price GBP,Price USD Approx
,,,,,,Items,27.79,35.76
,,,,,,Shipping,10.05,13.57
,,,,,,Total,36.54,49.33


